edge_index,horizon,label,over_rate,repair_config,training_seed,under_rate,violation_rate
20,2,candidate,0.0,sample_cosine,31432,0.0,0.0
21,2,candidate,0.0,sample_cosine,31432,1.0,1.0
22,2,candidate,0.0,sample_cosine,31432,0.0,0.0
0,3,candidate,0.0,sample_cosine,31432,0.9632352941176471,0.9632352941176471
1,3,candidate,0.0,sample_cosine,31432,1.0,1.0
2,3,candidate,0.0,sample_cosine,31432,0.0,0.0
3,3,candidate,0.09803921568627451,sample_cosine,31432,0.0,0.09803921568627451
4,3,candidate,0.0,sample_cosine,31432,0.0196078431372549,0.0196078431372549
5,3,candidate,0.0,sample_cosine,31432,1.0,1.0
6,3,candidate,0.0,sample_cosine,31432,0.5686274509803921,0.5686274509803921
7,3,candidate,0.0,sample_cosine,31432,1.0,1.0
8,3,candidate,0.0,sample_cosine,31432,1.0,1.0
9,3,candidate,0.0,sample_cosine,31432,1.0,1.0
10,3,candidate,0.0,sample_cosine,31432,1.0,1.0
11,3,candidate,0.0,sample_cosine,31432,1.0,1.0
12,3,candidate,0.0,sample_cosine,31432,1.0,1.0
13,3,candidate,0.0,sample_cosine,31432,1.0,1.0
14,3,candidate,0.0,sample_cosine,31432,1.0,1.0
15,3,candidate,0.0,sample_cosine,31432,0.5723039215686274,0.5723039215686274
16,3,candidate,0.0,sample_cosine,31432,0.003676470588235294,0.003676470588235294
17,3,candidate,0.0,sample_cosine,31432,1.0,1.0
18,3,candidate,0.0,sample_cosine,31432,0.0,0.0
19,3,candidate,0.0,sample_cosine,31432,0.32230392156862747,0.32230392156862747
20,3,candidate,0.0,sample_cosine,31432,0.0,0.0
21,3,candidate,0.0,sample_cosine,31432,0.9950980392156863,0.9950980392156863
22,3,candidate,0.0,sample_cosine,31432,1.0,1.0
0,0,candidate,0.0392156862745098,sample_cosine,31433,0.3137254901960784,0.35294117647058826
1,0,candidate,0.0,sample_cosine,31433,0.1715686274509804,0.1715686274509804
2,0,candidate,0.0,sample_cosine,31433,0.0,0.0
3,0,candidate,0.0,sample_cosine,31433,0.4485294117647059,0.4485294117647059
4,0,candidate,0.0,sample_cosine,31433,1.0,1.0
5,0,candidate,0.0,sample_cosine,31433,0.7696078431372549,0.7696078431372549
6,0,candidate,0.0,sample_cosine,31433,0.9975490196078431,0.9975490196078431
7,0,candidate,0.0,sample_cosine,31433,0.9754901960784313,0.9754901960784313
8,0,candidate,0.0,sample_cosine,31433,0.0,0.0
9,0,candidate,0.0,sample_cosine,31433,1.0,1.0
10,0,candidate,0.0,sample_cosine,31433,1.0,1.0
11,0,candidate,0.0,sample_cosine,31433,1.0,1.0
12,0,candidate,0.0,sample_cosine,31433,1.0,1.0
13,0,candidate,0.0,sample_cosine,31433,1.0,1.0
